Symbol
AAPL
ADBE
ADP
ADSK
AKAM
ALTR
ALXN
AMAT
AMGN
AMZN
APOL
ATVI
AVGO
BBBY
BIDU
BIIB
BMC
BRCM
CA
CELG
CERN
CHKP
CHRW
CMCSA
COST
CSCO
CTRP
CTSH
CTXS
DELL
DLTR
DTV
EA
EBAY
ESRX
EXPD
EXPE
FAST
FFIV
FISV
FLEX
FOSL
FSLR
GILD
GMCR
GOLD
GOOG
GRMN
HSIC
INFY
INTC
INTU
ISRG
KLAC
LIFE
LINTA
LLTC
LRCX
MAT
MCHP
MNST
MRVL
MSFT
MU
MXIM
MYL
NFLX
NTAP
NUAN
NVDA
NWSA
ORCL
ORLY
PAYX
PCAR
PCLN
PRGO
QCOM
RIMM
ROST
SBUX
SHLD
SIAL
SIRI
SNDK
SPLS
SRCL
STX
SYMC
TEVA
VMED
VOD
VRSN
VRTX
WCRX
WFM
WYNN
XLNX
XRAY
YHOO
