Symbol
AMZN
AN
ANF
APOL
AZO
BBBY
BBY
BIG
CBS
CCL
CMCSA
COH
CVC
DHI
DIS
DISCA
DRI
DTV
DV
EXPE
F
FDO
FO
GCI
GME
GPC
GPS
GT
HAR
HAS
HD
HOG
HOT
HRB
IGT
IPG
JCI
JCP
JWN
KMX
KSS
LEG
LEN
LOW
LTD
M
MAR
MAT
MCD
MHP
NFLX
NKE
NWL
NWSA
OMC
ORLY
PCLN
PHM
RL
ROST
RSH
SBUX
SHLD
SNI
SPLS
SWK
TGT
TIF
TJX
TWC
TWX
URBN
VFC
VIAb
WHR
WPO
WYN
WYNN
YUM
